Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,time/hour,time/minute,Humiditiy_d1,CO2_d1,Light_d1,Temperature_d1,Humiditiy_d3,CO2_d3,Light_d3,Temperature_d3,Humiditiy_d5,CO2_d5,Light_d5,Temperature_d5
23.7,26.272,585.2,749.2,0.0047641630241641395,1,14,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.718000000000004,26.29,578.4,760.4,0.00477266099212519,1,14,20,0.018000000000000682,11.199999999999932,-6.800000000000068,0.018000000000004235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1,14,21,-0.05999999999999872,9.266666666666993,-5.733333333333007,0.011999999999996902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.7225,26.125,493.75,774.75,0.00474377335599685,1,14,22,-0.10500000000000043,5.08333333333303,-78.91666666666697,-0.007500000000000284,-0.14699999999999847,25.549999999999955,-91.45000000000005,0.022500000000000853,0.0,0.0,0.0,0.0
23.754,26.2,488.6,779.0,0.00476659399998615,1,14,23,0.07499999999999929,4.25,-5.149999999999977,0.031500000000001194,-0.08999999999999986,18.600000000000023,-89.79999999999995,0.03599999999999781,0.0,0.0,0.0,0.0
23.76,26.26,568.666666666667,790.0,0.00477933243163454,1,14,24,0.060000000000002274,11.0,80.06666666666695,0.006000000000000227,0.030000000000001137,20.33333333333303,-4.0,0.030000000000001137,-0.011999999999996902,40.799999999999955,-16.533333333333076,0.060000000000002274
23.73,26.29,536.333333333333,798.0,0.004776136332748921,1,14,25,0.029999999999997584,8.0,-32.33333333333394,-0.030000000000001137,0.16499999999999915,23.25,42.58333333333303,0.007500000000000284,0.0,37.60000000000002,-42.06666666666695,0.011999999999996902
23.754,26.29,509.0,797.0,0.00478309370839038,1,14,26,0.0,-1.0,-27.33333333333303,0.02400000000000091,0.08999999999999986,18.0,20.399999999999977,0.0,0.05999999999999872,27.33333333333303,-63.66666666666697,0.02400000000000091
23.754,26.35,476.0,803.2,0.0047940939966204105,1,14,27,0.060000000000002274,6.2000000000000455,-33.0,0.0,0.08999999999999986,13.200000000000045,-92.66666666666697,-0.006000000000000227,0.22500000000000142,28.450000000000045,-17.75,0.031500000000001194
23.736,26.39,510.0,809.0,0.00479618871038935,1,14,28,0.03999999999999915,5.7999999999999545,34.0,-0.018000000000000682,0.10000000000000142,11.0,-26.33333333333303,0.006000000000000227,0.19000000000000128,30.0,21.399999999999977,-0.018000000000000682
23.745,26.445,481.5,815.25,0.00480888622067716,1,14,29,0.054999999999999716,6.25,-28.5,0.009000000000000341,0.15500000000000114,18.25,-27.5,-0.009000000000000341,0.18499999999999872,25.25,-87.16666666666697,-0.015000000000000568
23.7,26.56,481.8,824.0,0.0048167933677358,1,14,30,0.11499999999999844,8.75,0.30000000000001137,-0.045000000000001705,0.2099999999999973,20.799999999999955,5.800000000000011,-0.054000000000002046,0.2699999999999996,26.0,-54.53333333333302,-0.030000000000001137
23.7,26.6,475.25,832.0,0.0048241038367487395,1,14,31,0.0400000000000027,8.0,-6.550000000000011,0.0,0.21000000000000085,23.0,-34.75,-0.036000000000001364,0.3100000000000023,35.0,-33.75,-0.054000000000002046
23.7,26.7,469.0,845.333333333333,0.004842380755335629,1,14,32,0.09999999999999787,13.33333333333303,-6.25,0.0,0.254999999999999,30.08333333333303,-12.5,-0.045000000000001705,0.34999999999999787,42.133333333332985,-7.0,-0.054000000000002046
23.7,26.774,464.0,852.4,0.00485590636128976,1,14,33,0.07400000000000162,7.066666666666947,-5.0,0.0,0.2140000000000022,28.399999999999977,-17.80000000000001,0.0,0.38400000000000034,43.39999999999998,-46.0,-0.036000000000001364
23.7,26.89,464.0,861.0,0.00487710983719076,1,14,34,0.11599999999999966,8.600000000000023,0.0,0.0,0.28999999999999915,29.0,-11.25,0.0,0.4450000000000003,45.75,-17.5,-0.045000000000001705
23.7,26.9725,455.0,880.0,0.004892190768364,1,14,35,0.08249999999999957,19.0,-9.0,0.0,0.27250000000000085,34.66666666666697,-14.0,0.0,0.4125000000000014,56.0,-26.80000000000001,0.0
23.6,26.89,454.0,891.0,0.00484759441396992,1,14,36,-0.08249999999999957,11.0,-1.0,-0.09999999999999787,0.11599999999999966,38.60000000000002,-10.0,-0.09999999999999787,0.28999999999999915,59.0,-21.25,-0.09999999999999787
23.64,26.976,458.0,897.6,0.0048750447811301,1,14,37,0.08599999999999852,6.600000000000023,4.0,0.03999999999999915,0.08599999999999852,36.60000000000002,-6.0,-0.05999999999999872,0.2759999999999998,52.26666666666699,-11.0,-0.05999999999999872
23.65,27.05,464.0,900.5,0.004891491589296229,1,14,38,0.07400000000000162,2.8999999999999773,6.0,0.00999999999999801,0.07750000000000057,20.5,9.0,-0.05000000000000071,0.2759999999999998,48.10000000000002,0.0,-0.05000000000000071
23.64,27.1,473.0,908.8,0.004897630243458229,1,14,39,0.05000000000000071,8.299999999999955,9.0,-0.00999999999999801,0.21000000000000085,17.799999999999955,19.0,0.03999999999999915,0.21000000000000085,47.799999999999955,9.0,-0.05999999999999872
23.6,27.16,464.0,918.0,0.00489665184522539,1,14,40,0.05999999999999872,9.200000000000045,-9.0,-0.03999999999999915,0.18400000000000105,20.399999999999977,6.0,-0.03999999999999915,0.1875,38.0,9.0,-0.09999999999999787
